file	type	path_id	name
input/freefire-assets/assets/bin/Data/level5	GameObject	835	Col_box2meshCollider
input/freefire-assets/assets/bin/Data/level36	GameObject	40	StaticCollider (2)
input/freefire-assets/assets/bin/Data/level36	GameObject	41	StaticCollider (2)
input/freefire-assets/assets/bin/Data/level36	GameObject	42	StaticCollider (2)
input/freefire-assets/assets/bin/Data/level36	GameObject	43	StaticCollider (2)
input/freefire-assets/assets/bin/Data/level36	GameObject	44	StaticCollider (2)
input/freefire-assets/assets/bin/Data/level36	GameObject	45	StaticCollider (2)
input/freefire-assets/assets/bin/Data/level36	GameObject	100	StaticCollider
input/freefire-assets/assets/bin/Data/level36	GameObject	101	StaticCollider
input/freefire-assets/assets/bin/Data/level36	GameObject	102	StaticCollider
input/freefire-assets/assets/bin/Data/level36	GameObject	103	StaticCollider
input/freefire-assets/assets/bin/Data/level36	GameObject	104	StaticCollider
input/freefire-assets/assets/bin/Data/level36	GameObject	105	StaticCollider
input/freefire-assets/assets/bin/Data/level36	GameObject	124	StaticCollider (6)
input/freefire-assets/assets/bin/Data/level36	GameObject	125	StaticCollider (6)
input/freefire-assets/assets/bin/Data/level36	GameObject	126	StaticCollider (6)
input/freefire-assets/assets/bin/Data/level36	GameObject	127	StaticCollider (6)
input/freefire-assets/assets/bin/Data/level36	GameObject	128	StaticCollider (6)
input/freefire-assets/assets/bin/Data/level36	GameObject	129	StaticCollider (6)
input/freefire-assets/assets/bin/Data/level36	GameObject	136	StaticCollider (5)
input/freefire-assets/assets/bin/Data/level36	GameObject	137	StaticCollider (5)
input/freefire-assets/assets/bin/Data/level36	GameObject	138	StaticCollider (5)
input/freefire-assets/assets/bin/Data/level36	GameObject	139	StaticCollider (5)
input/freefire-assets/assets/bin/Data/level36	GameObject	140	StaticCollider (5)
input/freefire-assets/assets/bin/Data/level36	GameObject	141	StaticCollider (5)
input/freefire-assets/assets/bin/Data/level36	GameObject	148	StaticCollider (4)
input/freefire-assets/assets/bin/Data/level36	GameObject	149	StaticCollider (4)
input/freefire-assets/assets/bin/Data/level36	GameObject	150	StaticCollider (4)
input/freefire-assets/assets/bin/Data/level36	GameObject	151	StaticCollider (4)
input/freefire-assets/assets/bin/Data/level36	GameObject	152	StaticCollider (4)
input/freefire-assets/assets/bin/Data/level36	GameObject	153	StaticCollider (4)
input/freefire-assets/assets/bin/Data/level36	GameObject	228	L_SpawnAreaFenceDynamicCollider(2)
input/freefire-assets/assets/bin/Data/level36	GameObject	229	L_SpawnAreaFenceDynamicCollider(1)
input/freefire-assets/assets/bin/Data/level36	GameObject	230	L_SpawnAreaFenceDynamicCollider(4)
input/freefire-assets/assets/bin/Data/level36	GameObject	231	L_SpawnAreaFenceDynamicCollider(3)
input/freefire-assets/assets/bin/Data/level36	GameObject	256	LevelDynamicCollider1003
input/freefire-assets/assets/bin/Data/level36	GameObject	257	LevelDynamicCollider1004
input/freefire-assets/assets/bin/Data/level36	GameObject	258	LevelDynamicCollider1002
input/freefire-assets/assets/bin/Data/level36	GameObject	259	LevelDynamicCollider1001
input/freefire-assets/assets/bin/Data/level36	GameObject	276	StaticCollider (1)
input/freefire-assets/assets/bin/Data/level36	GameObject	277	StaticCollider (1)
input/freefire-assets/assets/bin/Data/level36	GameObject	278	StaticCollider (1)
input/freefire-assets/assets/bin/Data/level36	GameObject	279	StaticCollider (1)
input/freefire-assets/assets/bin/Data/level36	GameObject	280	StaticCollider (1)
input/freefire-assets/assets/bin/Data/level36	GameObject	281	StaticCollider (1)
