namespace,type,kind,bases,methods,fields,references,flags,file
,ABLevelObjectInfo,class,,6,1,,,ABLevelObjectInfo.cs
,ABSceneGOInfo,class,,2,9,,,ABSceneGOInfo.cs
,ABSceneInfo,class,,0,4,,,ABSceneInfo.cs
,ABSceneLightMapInfo,class,,0,3,,,ABSceneLightMapInfo.cs
,ABSceneMatRef,class,,0,2,,,ABSceneMatRef.cs
,ABSceneMeshRef,class,,0,2,,,ABSceneMeshRef.cs
,ABScenePrefabMeshInfo,class,,0,2,,,ABScenePrefabMeshInfo.cs
,ABScenePrefabRef,class,,0,2,,,ABScenePrefabRef.cs
,ABSceneTexRef,class,,0,2,,,ABSceneTexRef.cs
,AFInAppEvents,class,,0,0,,,AFInAppEvents.cs
,AIDismemberConfig,class,,0,3,LLEDPGIGCMO,,AIDismemberConfig.cs
,AIPawnColliderExportHelper,class,MonoBehaviour,0,2,,,AIPawnColliderExportHelper.cs
,ANGLELIMIT_PROPERTY,class,,0,15,,,ANGLELIMIT_PROPERTY.cs
,ANGLE_LIMIT,class,,0,12,,,ANGLE_LIMIT.cs
,ActionCollectionAnimRef,class,ScriptableObject,0,4,,,ActionCollectionAnimRef.cs
,ActiveOnBaking,class,MonoBehaviour,2,0,,,ActiveOnBaking.cs
,AdditiveEffectPlayableAsset,class,PlayableAsset,1,7,,,AdditiveEffectPlayableAsset.cs
,AdditiveEffectPlayableBehaviour,class,PlayableBehaviour,19,26,Player,,AdditiveEffectPlayableBehaviour.cs
,AdditiveEffectTrack,class,TrackAsset,1,0,,,AdditiveEffectTrack.cs
,AgainstObjectType,enum,,0,0,,,AgainstObjectType.cs
,AlignNormal,class,MonoBehaviour,7,16,,,AlignNormal.cs
,AllPlayerSpawnPointManager,class,MonoBehaviour,1,1,,,AllPlayerSpawnPointManager.cs
,AnchorPoint,class,MonoBehaviour,0,4,,,AnchorPoint.cs
,AndroidVideoPlayer,class,ICustomVideoPlayer,19,14,,,AndroidVideoPlayer.cs
,AnimCGEvt,class,PreviewBaseComponent,12,1,,,AnimCGEvt.cs
,AnimEvtForwardWithUID,class,MonoBehaviour,1,1,,,AnimEvtForwardWithUID.cs
,AnimEvtForwarder,class,MonoBehaviour,2,0,,,AnimEvtForwarder.cs
,AnimEvtForwarderIncludeParam,class,MonoBehaviour,2,1,,,AnimEvtForwarderIncludeParam.cs
,AnimExtension,class,,1,0,,,AnimExtension.cs
,AnimTriggerEffectHelper,class,MonoBehaviour,2,1,,,AnimTriggerEffectHelper.cs
,AnimationClipEvent,class,MonoBehaviour,2,0,,,AnimationClipEvent.cs
,AnimationDelay,class,MonoBehaviour,2,2,,,AnimationDelay.cs
,AnimatorsRandomAnimController,class,MonoBehaviour,2,15,,,AnimatorsRandomAnimController.cs
,AppsFlyerObjectScript,class,"MonoBehaviour, IAppsFlyerConversionData",7,1,,,AppsFlyerObjectScript.cs
,ArcMath,class,,3,0,,,ArcMath.cs
,ArcShieldModelComponent,class,MonoBehaviour,0,5,,TakeDamage,ArcShieldModelComponent.cs
,AroundGameQuickChatData,class,"CSVBaseData, IGetId",3,4,,,AroundGameQuickChatData.cs
,ArrayMap,class,,10,3,,,ArrayMap.cs
,AssetRefType,enum,,0,0,,,AssetRefType.cs
,AssetReference,class,Attribute,0,1,,,AssetReference.cs
,AttackableBoxExport,class,MonoBehaviour,0,0,,,AttackableBoxExport.cs
,AudioCGHalfEvt,class,AnimAudioEvt,6,6,,,AudioCGHalfEvt.cs
,AudioFacade,class,,1,1,,,AudioFacade.cs
,AutoChangeComp,class,MonoBehaviour,5,4,,,AutoChangeComp.cs
,AutoRotationWithServerTime,class,Entity,2,9,,,AutoRotationWithServerTime.cs
,AutoTaskLobbyGuideShow,class,AutoPopupTask,3,0,,,AutoTaskLobbyGuideShow.cs
,AvatarExtraAmbient,class,MonoBehaviour,3,2,,,AvatarExtraAmbient.cs
,AvatarLookAtData,class,CSVBaseData,2,10,,,AvatarLookAtData.cs
,AvatarTransformData,class,CSVBaseData,6,11,,,AvatarTransformData.cs
,AvoidBatching,class,MonoBehaviour,1,0,,,AvoidBatching.cs
,BE_BlockButton,class,"MonoBehaviour, I_BE_BlockButton",14,15,,,BE_BlockButton.cs
,BE_BlockSectionHeader_Null,class,"MonoBehaviour, JINIKKACLOC",3,6,,,BE_BlockSectionHeader_Null.cs
,BTFishMapIcon,class,MonoBehaviour,0,2,,,BTFishMapIcon.cs
,BTWhalePortal,class,MonoBehaviour,3,5,,,BTWhalePortal.cs
,BackgroundCacher,class,,10,4,,,BackgroundCacher.cs
,BanHighZoneList,class,MonoBehaviour,0,0,,,BanHighZoneList.cs
,BanZoneInfoList,class,MonoBehaviour,0,0,,,BanZoneInfoList.cs
,BaseTableItem,class,"MonoBehaviour, ILayoutTableItem",5,3,,,BaseTableItem.cs
,BattleBoardSpawn,class,MonoBehaviour,0,6,,,BattleBoardSpawn.cs
,BezierFollowingObject,class,ReusableObject,4,6,,,BezierFollowingObject.cs
,BigToyBallAttributeConfig,class,ItemEditAttributeBaseConfig,6,10,,,BigToyBallAttributeConfig.cs
,BirthForbiddenZoneList,class,MonoBehaviour,0,0,,,BirthForbiddenZoneList.cs
,BlackMaskConfig,class,,0,4,,,BlackMaskConfig.cs
,BlackWhiteOverrideSettings,class,,1,4,,,BlackWhiteOverrideSettings.cs
,BloodmoonGPCircleData,class,,0,5,,,BloodmoonGPCircleData.cs
,BloodmoonGPSpawnData,class,MonoBehaviour,0,1,,,BloodmoonGPSpawnData.cs
,BlueTearBox,class,MonoBehaviour,1,2,,,BlueTearBox.cs
,BombSpawnPoint,class,MonoBehaviour,0,0,,,BombSpawnPoint.cs
,BombZone,class,MonoBehaviour,0,0,,,BombZone.cs
,BombZoneInfoList,class,MonoBehaviour,0,0,,,BombZoneInfoList.cs
,BornPosSetting,class,MonoBehaviour,1,0,,,BornPosSetting.cs
,BotAgentUIHighLight,class,MonoBehaviour,7,6,,,BotAgentUIHighLight.cs
,BotAgentUIHighLightRect,class,MonoBehaviour,7,11,,,BotAgentUIHighLightRect.cs
,BotGeneratorFunctionAttributeConfig,class,ItemFunctionAttributeBaseConfig,5,6,,,BotGeneratorFunctionAttributeConfig.cs
,BountyWaitingUAV,class,AttackableEntity,13,25,GLLLEDKLLDA,TakeDamage,BountyWaitingUAV.cs
,BoxColToMeshCol,class,MonoBehaviour,0,0,,,BoxColToMeshCol.cs
,BuffEditAttributeConfig,class,ItemEditAttributeBaseConfig,5,8,,,BuffEditAttributeConfig.cs
,BuffGeneratorObject,class,MonoBehaviour,3,6,,,BuffGeneratorObject.cs
,CSGameZoneAirDrop,class,MonoBehaviour,0,6,,,CSGameZoneAirDrop.cs
,CSRoundDragonAnimComponent,class,MonoBehaviour,3,17,,,CSRoundDragonAnimComponent.cs
,CSRoundDragonLine,class,MonoBehaviour,1,9,,,CSRoundDragonLine.cs
,CSRoundDragonParams,class,,3,14,,,CSRoundDragonParams.cs
,CabinExportConfig,class,MonoBehaviour,0,0,,,CabinExportConfig.cs
,CabinWaiting,class,MonoBehaviour,13,30,,,CabinWaiting.cs
,CacherNode,class,,4,6,,,CacherNode.cs
,CameraFogSetting,class,MonoBehaviour,2,2,,,CameraFogSetting.cs
,CameraMove,class,MonoBehaviour,1,4,,,CameraMove.cs
,CameraNode_Shadow,class,PlanarShadowNode,3,2,,,CameraNode_Shadow.cs
,CameraPanZoom,class,MonoBehaviour,8,5,,,CameraPanZoom.cs
,CameraReflection,class,MonoBehaviour,0,3,,,CameraReflection.cs
,CameraShakeParam,class,,0,3,,,CameraShakeParam.cs
,CameraUtility,class,,1,0,,,CameraUtility.cs
,CarBoostParam,class,,0,4,,,CarBoostParam.cs
,CarInWaterParam,class,,0,6,,,CarInWaterParam.cs
,CarJumpParam,class,,0,3,,,CarJumpParam.cs
,ChannelGoposSummaryDataManager,class,SingletonModule<ChannelGoposSummaryDataManager>,3,0,,,ChannelGoposSummaryDataManager.cs
,CheckResUI,class,MonoBehaviour,2,9,,,CheckResUI.cs
,ChildShowHelper,class,MonoBehaviour,0,0,,,ChildShowHelper.cs
,CircileParam,class,,0,1,,,CircileParam.cs
,ClanAreaData,class,CSVBaseData,2,3,,,ClanAreaData.cs
,ClanConfigData,class,CSVBaseData,2,32,,,ClanConfigData.cs
,ClanHonorData,class,CSVBaseData,2,5,,,ClanHonorData.cs
